slug,title,category_breadcrumb,hero_tags,hero_lead,body_paragraphs,why_heading,features,hero_image,hero_image_alt,spec_table (label:value),related (name>link),meta_title,meta_description,canonical
dry-extruder,Dry Extruder,Products · Extrusion,Full-fat soya | No boiler needed | Stage 04 · Extrusion,Friction-cooked extrusion without a boiler — the straightforward route to full-fat soya and small-line pet food.,"The SPHG dry extruder generates its cooking heat through barrel friction alone, so plants without steam can still produce full-fat extruded soya and simple pet rations.

It suits smaller operations and ingredient pre-treatment inside larger SEMZON lines.",Why plants specify it,No steam boiler required | Full-fat soya processing | Compact footprint for small lines | Simple operation and maintenance,/assets/img/extrusion-dry-extruder-sphg-01.webp,Dry Extruder,Series:SPHG | Process:Dry (friction) extrusion | Products:Full-fat soya · pet food | Utilities:Electric drive only,Fish Feed Extruder>../fish-feed-extruder/index.html | Hammer Mill>../../grinding/hammer-mill/index.html | Ribbon Mixer>../../mixing/ribbon-mixer/index.html,Dry Extruder — SPHG | SEMZON Engineering,Friction-cooked extrusion without a boiler — the straightforward route to full-fat soya and small-line pet food.,https://www.semzoneng.com/products/extrusion/dry-extruder/
fish-feed-extruder,Fish Feed Extruder,Products · Extrusion,Floating & sinking | Aqua & pet | Stage 04 · Extrusion,"Wet extrusion for floating and sinking aqua feed and pet food — cooked, expanded and shaped in one conditioned pass.","The SMHS wet extruder steam-conditions the ration, then cooks and expands it through the barrel and die, producing floating or sinking pellets by recipe and die selection. Starch gelatinisation improves water stability and digestibility for fish, shrimp and pets.

Paired with the SHGW dryer and coating equipment it forms the core of SEMZON aqua and pet feed lines from 2 to 20 t/h.",Why plants specify it,Floating and sinking product from one machine | Steam pre-conditioning for cook and stability | Die sets for species and pellet sizes | Pairs with SHGW belt dryer and coater,/assets/img/extrusion-fish-feed-extruder-smhs-01.webp,Fish Feed Extruder,Series:SMHS | Process:Wet extrusion | Products:Floating / sinking aqua feed · pet food | Line range:2–20 t/h aqua & pet lines,Dry Extruder>../dry-extruder/index.html | Belt Dryer>../../cooling-drying/dryer/index.html | Feed Pellet Mill>../../pelleting/feed-pellet-mill/index.html,Fish Feed Extruder — SMHS | SEMZON Engineering,"Wet extrusion for floating and sinking aqua feed and pet food — cooked, expanded and shaped in one conditioned pass.",https://www.semzoneng.com/products/extrusion/fish-feed-extruder/
storage-tanks,Storage Tanks,Products · Fabrication,1–100 t | MS fabrication,"Fabricated storage from one tonne to one hundred — raw material bins, finished-product silos and liquid tanks built in our Lahore works.","SEMZON fabricates mild-steel storage tanks and bins from 1 to 100 tonnes: intake bins, batching bins above the mixer, finished-feed silos and liquid storage for oils and molasses.

Discharge geometry, level sensing and access are engineered per material so what goes in comes out — first in, first out, no bridging.",Why plants specify it,"Capacities 1–100 t | Intake, batching and finished-product duties | Liquid tanks for oils and molasses | Discharge geometry engineered per material",/assets/img/illus-storage-tanks.svg,Storage Tanks,"Range:1–100 t | Build:MS fabrication, Lahore works | Duties:Raw · batching · finished · liquid | Options:Level sensing, access platforms",Bucket Elevator>../../conveying/bucket-elevator/index.html | Ancillary Equipment>../../ancillary-equipment/index.html | Rotary Distributor>../../conveying/rotary-distributor/index.html,Storage Tanks — 1–100 T | SEMZON Engineering,"Fabricated storage from one tonne to one hundred — raw material bins, finished-product silos and liquid tanks built in our Lahore works.",https://www.semzoneng.com/products/fabrication/storage-tanks/
hammer-mill,Hammer Mill,Products · Grinding,2–35 t/h | 500–700 µm grind | Stage 02 · Grinding,High-throughput grinding that sets up everything downstream — particle size decided here determines mixing accuracy and pellet durability three stages later.,"The SMSP hammer mill reduces cleaned maize, wheat and meal to a uniform 500–700 µm grind through a high-speed beater rotor and interchangeable screens. Screen apertures are swapped in minutes to match ration and species, so one mill serves mash, pellet and crumb programmes alike.

Every SMSP is fabricated and trial-run in our Lahore works, balanced as an assembly, and matched to your line's magnet, feeder and aspiration so the grinding section runs dust-tight at rated load.",Why plants specify it,Capacities across the 2–35 t/h feed-line range | Reversible beaters for extended wear life | Quick-change screens for ration flexibility | Aspiration-ready housing for dust-tight operation | Direct spares support from the Lahore works,/assets/img/grinding-hammer-mill-smsp-01.webp,Hammer Mill,"Series:SMSP | Capacity:2–35 t/h (model dependent) | Typical grind:500–700 µm | Screens:Interchangeable, aperture to ration | Duty:Poultry · cattle · aqua · biomass pre-grind",Maize Pre-Cleaner>../../cleaning/maize-pre-cleaner/index.html | Ribbon Mixer>../../mixing/ribbon-mixer/index.html | Feed Pellet Mill>../../pelleting/feed-pellet-mill/index.html,Hammer Mill — SMSP | SEMZON Engineering,High-throughput grinding that sets up everything downstream — particle size decided here determines mixing accuracy and pellet durability three stages,https://www.semzoneng.com/products/grinding/hammer-mill/
liquid-adding,Automatic Liquid Adding,Products · Liquids,Multi-liquid dosing | Stage 03 · Mixing,"Automatic, recipe-driven dosing of multiple liquids — oil, molasses, enzymes — weighed and delivered per batch by the control system.","The automatic liquid adding system stores, weighs and injects several liquids per recipe, under PLC control, so each batch receives exactly what the formulation calls for without operator handling.

It closes the loop between the batching computer and the mixer for consistent finished-feed analysis.",Why plants specify it,"Multiple liquids per recipe | Weighed, PLC-driven dosing | No manual liquid handling | Consistent batch-to-batch analysis",/assets/img/illus-liquid-adding.svg,Automatic Liquid Adding,"Duty:Oils, molasses, liquid additives | Control:Recipe-driven via PLC | Position:Stage 03 — batching & mixing",Oil Adding Machine>../oil-adding/index.html | PLC & Control Panels>../../automation/plc-control-panels/index.html | Twin-Shaft Paddle Mixer>../paddle-mixer/index.html,Automatic Liquid Adding — ALA | SEMZON Engineering,"Automatic, recipe-driven dosing of multiple liquids — oil, molasses, enzymes — weighed and delivered per batch by the control system.",https://www.semzoneng.com/products/mixing/liquid-adding/
oil-adding,Oil Adding Machine,Products · Liquids,Mixer spray duty | Stage 03 · Mixing,"Tank, pump and spray manifold that puts a measured shot of oil into every batch — evenly, on time, without puddling.","The oil adding set meters fats and oils into the mixer through spray nozzles timed to the mixing cycle, so liquid lands on moving material and disperses evenly instead of streaking the batch.

Tank heating and insulated lines are specified for viscous fats in cold weather.",Why plants specify it,Measured oil shot per batch | Spray manifold for even dispersion | Tank heating options for viscous fats | Integrates with PLC batching control,/assets/img/illus-oil-adding.svg,Oil Adding Machine,"Duty:Fats & oils into mixer | Dosing:Batch-metered, cycle-timed | Options:Heated tank, insulated lines",Automatic Liquid Adding>../liquid-adding/index.html | Ribbon Mixer>../ribbon-mixer/index.html | PLC & Control Panels>../../automation/plc-control-panels/index.html,Oil Adding Machine — OIL | SEMZON Engineering,"Tank, pump and spray manifold that puts a measured shot of oil into every batch — evenly, on time, without puddling.",https://www.semzoneng.com/products/mixing/oil-adding/
paddle-mixer,Twin-Shaft Paddle Mixer,Products · Mixing,High-liquid rations | CV ≤ 5% | Stage 03 · Mixing,Twin-shaft paddle action for the shortest cycles and the gentlest handling — built for high-liquid and fragile-ingredient rations.,"The SMSJ twin-shaft paddle mixer fluidises the batch between counter-rotating paddle shafts, reaching CV ≤ 5% in an even shorter cycle than ribbon mixing while treating heat-sensitive and fragile ingredients gently.

It is the mixer of choice where high liquid percentages — molasses, fat, oil — would overload a ribbon machine.",Why plants specify it,Counter-rotating twin paddle shafts | Very short mixing cycles at CV ≤ 5% | Handles high liquid addition rates | Gentle action for fragile ingredients | Twin bomb-door discharge,/assets/img/illus-paddle-mixer.svg,Twin-Shaft Paddle Mixer,Series:SMSJ | Type:Twin-shaft paddle | Uniformity:CV ≤ 5% | Best for:High-liquid & premix-critical rations,Ribbon Mixer>../ribbon-mixer/index.html | Oil Adding Machine>../oil-adding/index.html | Automatic Liquid Adding>../liquid-adding/index.html,Twin-Shaft Paddle Mixer — SMSJ | SEMZON Engineering,Twin-shaft paddle action for the shortest cycles and the gentlest handling — built for high-liquid and fragile-ingredient rations.,https://www.semzoneng.com/products/mixing/paddle-mixer/
ribbon-mixer,Ribbon Mixer,Products · Mixing,250–2000 kg batch | CV ≤ 5% | Stage 03 · Mixing,Batch mixing to a coefficient of variation of 5% or better in a 90–120 second cycle — the accuracy heart of the batching section.,"The SMHY horizontal ribbon mixer blends macro ingredients, micro-doses and added liquids into a homogeneous batch in 90–120 seconds, holding CV at or below 5% across the 250–2000 kg batch range.

Full-length bomb-door discharge empties the batch fast and clean, keeping cycle times tight and cross-contamination low between rations.",Why plants specify it,Batch sizes 250–2000 kg | Mixing uniformity CV ≤ 5% | 90–120 second mixing cycle | Full-length quick-discharge door | Liquid adding ports for oil and additives,/assets/img/mixing-ribbon-mixer-smhy-cut.webp,Ribbon Mixer,"Series:SMHY | Batch size:250–2000 kg | Uniformity:CV ≤ 5% | Cycle:90–120 s | Options:Liquid/oil adding, load cells",Twin-Shaft Paddle Mixer>../paddle-mixer/index.html | Automatic Liquid Adding>../liquid-adding/index.html | Hammer Mill>../../grinding/hammer-mill/index.html,Ribbon Mixer — SMHY | SEMZON Engineering,Batch mixing to a coefficient of variation of 5% or better in a 90–120 second cycle — the accuracy heart of the batching section.,https://www.semzoneng.com/products/mixing/ribbon-mixer/
packing-scales,Packing Scales,Products · Packing,25/50 kg bags | Stage 06 · Packing,"Weigh, fill, stitch, dispatch — finished feed into accurate 25 and 50 kg bags at the pace of the line.","SEMZON packing stations weigh finished feed into 25 or 50 kg bags with load-cell accuracy, then carry them across a stitching conveyor to the dispatch bay.

Bagging rate is matched to line capacity so packing never becomes the bottleneck at the end of a good production day.",Why plants specify it,25 and 50 kg bag weights | Load-cell weighing accuracy | Integrated stitching conveyor | Rates matched to line capacity,/assets/img/packing-packing-scales-01.webp,Packing Scales,"Bag sizes:25 / 50 kg | Weighing:Load-cell, automatic | Line:Stitching conveyor to dispatch | Position:Stage 06 — packing & loading",Bucket Elevator>../../conveying/bucket-elevator/index.html | Pellet Cleaner>../../cleaning/pellet-cleaner/index.html | PLC & Control Panels>../../automation/plc-control-panels/index.html,Packing Scales — PACK | SEMZON Engineering,"Weigh, fill, stitch, dispatch — finished feed into accurate 25 and 50 kg bags at the pace of the line.",https://www.semzoneng.com/products/packing/packing-scales/
feed-pellet-mill,Feed Pellet Mill,Products · Pelleting,2–35 t/h | Ring die Ø350–768 mm | Stage 04 · Pelleting,"The heart of the plant — steam-conditioned mash pressed through precision ring dies at 80–85 °C, from 2 to 35 tonnes every hour.","The SZLH series covers the full SEMZON feed-line range with ring dies from Ø350 to Ø768 mm. Mash is conditioned with saturated steam to 80–85 °C — up to triple-pass conditioning on larger frames — then pressed into dense, durable pellets.

Gear-driven transmission, quick die clamping and roller adjustment keep changeovers short, and every die and roller set is supported with spares from the Lahore works for the life of the machine.",Why plants specify it,"Ring dies Ø350–768 mm across the series | Capacities from 2 to 35 t/h | Steam conditioning at 80–85 °C, up to triple conditioner | Quick die clamp and roller adjustment | Dies, rollers and wear parts ex-Lahore",/assets/img/pelleting-feed-pellet-mill-szlh-cut.webp,Feed Pellet Mill,Series:SZLH | Capacity:2–35 t/h | Ring die:Ø350–768 mm | Conditioning:Saturated steam · 80–85 °C | Drive:Gear transmission | Duty:Poultry · cattle · aqua sinking,Hammer Mill>../../grinding/hammer-mill/index.html | Counterflow Cooler>../../cooling-drying/counterflow-cooler/index.html | Pellet Crumbler>../../screening/crumbler/index.html,Feed Pellet Mill — SZLH | SEMZON Engineering,"The heart of the plant — steam-conditioned mash pressed through precision ring dies at 80–85 °C, from 2 to 35 tonnes every hour.",https://www.semzoneng.com/products/pelleting/feed-pellet-mill/
crumbler,Pellet Crumbler,Products · Screening,Starter & grower crumbs | Stage 05 · Screening,Corrugated-roll crumbling that turns cooled pellets into uniform starter and grower crumbs — up to four-roll configurations.,"The SSLG crumbler passes cooled pellets between corrugated rolls to produce crumbs for young birds and small species, with roll gap adjustment setting crumb size on the run.

A bypass flap sends whole pellets straight through when crumbs are not required, so one line serves both products.",Why plants specify it,Two- and four-roll configurations | On-the-run roll gap adjustment | Pellet bypass for whole-pellet products | Feeds SFJH screener for grading,/assets/img/screening-crumbler-sslg-01.webp,Pellet Crumbler,"Series:SSLG | Rolls:Up to 4, corrugated | Products:Starter / grower crumbs | Position:Stage 05 — cooling & screening",Vibration Screener>../vibration-screener/index.html | Feed Pellet Mill>../../pelleting/feed-pellet-mill/index.html | Pellet Cleaner>../../cleaning/pellet-cleaner/index.html,Pellet Crumbler — SSLG | SEMZON Engineering,Corrugated-roll crumbling that turns cooled pellets into uniform starter and grower crumbs — up to four-roll configurations.,https://www.semzoneng.com/products/screening/crumbler/
vibration-screener,Vibration Screener,Products · Screening,Multi-deck grading | Stage 05 · Screening,"Rotary vibration grading that splits pellets and crumbs into precise size fractions — uniform product forward, everything else back.","The SFJH screener grades cooled pellets and crumbled product across multiple decks, sending on-size feed to packing and returning fines and oversize for reprocessing.

Deck screens are matched to your crumb sizes and pellet diameters, and swap quickly between production runs.",Why plants specify it,"Multi-deck grading of pellets and crumbs | Quick screen change between products | Balanced vibration drive, low noise | Closed, dust-tight construction",/assets/img/screening-vibration-screener-sfjh-01.webp,Vibration Screener,"Series:SFJH | Duty:Pellets & crumbs | Decks:Multiple, screen-to-product | Position:Stage 05 — cooling & screening",Pellet Crumbler>../crumbler/index.html | Pellet Cleaner>../../cleaning/pellet-cleaner/index.html | Counterflow Cooler>../../cooling-drying/counterflow-cooler/index.html,Vibration Screener — SFJH | SEMZON Engineering,"Rotary vibration grading that splits pellets and crumbs into precise size fractions — uniform product forward, everything else back.",https://www.semzoneng.com/products/screening/vibration-screener/
